frac,H/L,sigma_lb1,sigma_ub1,sigma_lb2,sigma_ub2
0.1,1.5,,,,
0.1,2.0,0.11194029850746269,0.5,0.0,0.5
0.1,2.5,0.0,0.5,0.0,0.5
0.1,3.0,0.0,0.5,0.0,0.5
0.1,3.5,0.0,0.5,0.0,0.5
0.1,4.0,0.0,0.5,0.0,0.5
0.1,4.5,0.0,0.5,0.0,0.5
0.1,5.0,0.0,0.5,0.0,0.5
0.1,5.5,0.0,0.5,0.0,0.5
0.1,6.0,0.0,0.5,0.0,0.5
0.1,6.5,0.0,0.5,0.0,0.5
0.1,7.0,0.0,0.5,0.0,0.5
0.1,7.5,0.0,0.5,0.0,0.5
0.1,8.0,0.0,0.5,0.0,0.5
0.1,8.5,0.0,0.5,0.0,0.5
0.1,9.0,0.0,0.5,0.0,0.5
0.1,9.5,0.0,0.5,0.0,0.5
0.1,10.0,0.0,0.5,0.0,0.5
0.2,1.5,,,0.0,0.016717325227963525
0.2,2.0,0.39528795811518325,0.5,0.0,0.41457286432160806
0.2,2.5,0.0,0.5,0.0,0.5
0.2,3.0,0.0,0.5,0.0,0.5
0.2,3.5,0.0,0.5,0.0,0.5
0.2,4.0,0.0,0.5,0.0,0.5
0.2,4.5,0.0,0.5,0.0,0.5
0.2,5.0,0.0,0.5,0.0,0.5
0.2,5.5,0.0,0.5,0.0,0.5
0.2,6.0,0.0,0.5,0.0,0.5
0.2,6.5,0.0,0.5,0.0,0.5
0.2,7.0,0.0,0.5,0.0,0.5
0.2,7.5,0.0,0.5,0.0,0.5
0.2,8.0,0.0,0.5,0.0,0.5
0.2,8.5,0.0,0.5,0.0,0.5
0.2,9.0,0.0,0.5,0.0,0.5
0.2,9.5,0.0,0.5,0.0,0.5
0.2,10.0,0.0,0.5,0.0,0.5
0.30000000000000004,1.5,,,0.0,0.0026785714285714286
0.30000000000000004,2.0,0.34507042253521125,0.5,0.0,0.32951289398280803
0.30000000000000004,2.5,0.0,0.5,0.0,0.5
0.30000000000000004,3.0,0.0,0.5,0.0,0.5
0.30000000000000004,3.5,0.0,0.5,0.0,0.5
0.30000000000000004,4.0,0.0,0.5,0.0,0.5
0.30000000000000004,4.5,0.0,0.5,0.0,0.5
0.30000000000000004,5.0,0.0,0.5,0.0,0.5
0.30000000000000004,5.5,0.0,0.5,0.0,0.5
0.30000000000000004,6.0,0.0,0.5,0.0,0.5
0.30000000000000004,6.5,0.0,0.5,0.0,0.5
0.30000000000000004,7.0,0.0,0.5,0.0,0.5
0.30000000000000004,7.5,0.0,0.5,0.0,0.5
0.30000000000000004,8.0,0.0,0.5,0.0,0.5
0.30000000000000004,8.5,0.0,0.5,0.0,0.5
0.30000000000000004,9.0,0.0,0.5,0.0,0.5
0.30000000000000004,9.5,0.0,0.5,0.0,0.5
0.30000000000000004,10.0,0.0,0.5,0.0,0.5
0.4,1.5,,,,
0.4,2.0,0.22608695652173913,0.5,0.0,0.0670995670995671
0.4,2.5,0.0,0.5,0.0,0.3115487914055506
0.4,3.0,0.0,0.5,0.0,0.48396946564885496
0.4,3.5,0.0,0.5,0.0,0.5
0.4,4.0,0.0,0.5,0.0,0.5
0.4,4.5,0.0,0.5,0.0,0.5
0.4,5.0,0.0,0.5,0.0,0.5
0.4,5.5,0.0,0.5,0.0,0.5
0.4,6.0,0.0,0.5,0.0,0.5
0.4,6.5,0.0,0.5,0.0,0.5
0.4,7.0,0.0,0.5,0.0,0.5
0.4,7.5,0.0,0.5,0.0,0.5
0.4,8.0,0.0,0.5,0.0,0.5
0.4,8.5,0.0,0.5,0.0,0.5
0.4,9.0,0.0,0.5,0.0,0.5
0.4,9.5,0.0,0.5,0.0,0.5
0.4,10.0,0.0,0.5,0.0,0.5
0.5,1.5,,,,
0.5,2.0,0.46174142480211083,0.5,0.0,0.12913385826771653
0.5,2.5,0.016270337922403004,0.5,0.0,0.31971920867900444
0.5,3.0,0.0,0.5,0.0,0.44957081545064376
0.5,3.5,0.0,0.5,0.0,0.5
0.5,4.0,0.0,0.5,0.0,0.5
0.5,4.5,0.0,0.5,0.0,0.5
0.5,5.0,0.0,0.5,0.0,0.5
0.5,5.5,0.0,0.5,0.0,0.5
0.5,6.0,0.0,0.5,0.0,0.5
0.5,6.5,0.0,0.5,0.0,0.5
0.5,7.0,0.0,0.5,0.0,0.5
0.5,7.5,0.0,0.5,0.0,0.5
0.5,8.0,0.0,0.5,0.0,0.5
0.5,8.5,0.0,0.5,0.0,0.5
0.5,9.0,0.0,0.5,0.0,0.5
0.5,9.5,0.0,0.5,0.0,0.5
0.5,10.0,0.0,0.5,0.0,0.5
0.6000000000000001,1.5,,,,
0.6000000000000001,2.0,,,0.0,0.03896961690885073
0.6000000000000001,2.5,0.2107981220657277,0.5,0.0,0.26186623516720603
0.6000000000000001,3.0,0.0,0.5,0.0,0.41567912488605285
0.6000000000000001,3.5,0.0,0.5,0.0,0.5
0.6000000000000001,4.0,0.0,0.5,0.0,0.5
0.6000000000000001,4.5,0.0,0.5,0.0,0.5
0.6000000000000001,5.0,0.0,0.5,0.0,0.5
0.6000000000000001,5.5,0.0,0.5,0.0,0.5
0.6000000000000001,6.0,0.0,0.5,0.0,0.5
0.6000000000000001,6.5,0.0,0.5,0.0,0.5
0.6000000000000001,7.0,0.0,0.5,0.0,0.5
0.6000000000000001,7.5,0.0,0.5,0.0,0.5
0.6000000000000001,8.0,0.0,0.5,0.0,0.5
0.6000000000000001,8.5,0.0,0.5,0.0,0.5
0.6000000000000001,9.0,0.0,0.5,0.0,0.5
0.6000000000000001,9.5,0.0,0.5,0.0,0.5
0.6000000000000001,10.0,0.0,0.5,0.0,0.5
0.7000000000000001,1.5,,,,
0.7000000000000001,2.0,,,,
0.7000000000000001,2.5,0.2347451543431443,0.5,0.0,0.1847082494969819
0.7000000000000001,3.0,0.0,0.5,0.0,0.335258152173913
0.7000000000000001,3.5,0.0,0.5,0.0,0.4451954158095798
0.7000000000000001,4.0,0.0,0.5,0.0,0.5
0.7000000000000001,4.5,0.0,0.5,0.0,0.5
0.7000000000000001,5.0,0.0,0.5,0.0,0.5
0.7000000000000001,5.5,0.0,0.5,0.0,0.5
0.7000000000000001,6.0,0.0,0.5,0.0,0.5
0.7000000000000001,6.5,0.0,0.5,0.0,0.5
0.7000000000000001,7.0,0.0,0.5,0.0,0.5
0.7000000000000001,7.5,0.0,0.5,0.0,0.5
0.7000000000000001,8.0,0.0,0.5,0.0,0.5
0.7000000000000001,8.5,0.0,0.5,0.0,0.5
0.7000000000000001,9.0,0.0,0.5,0.0,0.5
0.7000000000000001,9.5,0.0,0.5,0.0,0.5
0.7000000000000001,10.0,0.0,0.5,0.0,0.5
0.8,1.5,,,,
0.8,2.0,,,0.0,0.06679151061173533
0.8,2.5,0.22238204833141542,0.5,0.0,0.24761785356068206
0.8,3.0,0.0,0.5,0.0,0.3690276613579212
0.8,3.5,0.0,0.5,0.0,0.45617350611951046
0.8,4.0,0.0,0.5,0.0,0.5
0.8,4.5,0.0,0.5,0.0,0.5
0.8,5.0,0.0,0.5,0.0,0.5
0.8,5.5,0.0,0.5,0.0,0.5
0.8,6.0,0.0,0.5,0.0,0.5
0.8,6.5,0.0,0.5,0.0,0.5
0.8,7.0,0.0,0.5,0.0,0.5
0.8,7.5,0.0,0.5,0.0,0.5
0.8,8.0,0.0,0.5,0.0,0.5
0.8,8.5,0.0,0.5,0.0,0.5
0.8,9.0,0.0,0.5,0.0,0.5
0.8,9.5,0.0,0.5,0.0,0.5
0.8,10.0,0.0,0.5,0.0,0.5
0.9,1.5,,,,
0.9,2.0,,,0.0,0.14353975535168195
0.9,2.5,,,0.0,0.27721324095458044
0.9,3.0,0.15264187866927592,0.5,0.0,0.36736272235112144
0.9,3.5,0.0,0.5,0.0,0.43226914976166725
0.9,4.0,0.0,0.5,0.0,0.48123298327499026
0.9,4.5,0.0,0.5,0.0,0.5
0.9,5.0,0.0,0.5,0.0,0.5
0.9,5.5,0.0,0.5,0.0,0.5
0.9,6.0,0.0,0.5,0.0,0.5
0.9,6.5,0.0,0.5,0.0,0.5
0.9,7.0,0.0,0.5,0.0,0.5
0.9,7.5,0.0,0.5,0.0,0.5
0.9,8.0,0.0,0.5,0.0,0.5
0.9,8.5,0.0,0.5,0.0,0.5
0.9,9.0,0.0,0.5,0.0,0.5
0.9,9.5,0.0,0.5,0.0,0.5
0.9,10.0,0.0,0.5,0.0,0.5
1.0,1.5,,,,
1.0,2.0,,,0.0,0.0858411892675852
1.0,2.5,,,0.0,0.2251492433708177
1.0,3.0,,,0.0,0.31158605174353204
1.0,3.5,0.0,0.24760127931769724,0.0,0.37045003309066843
1.0,4.0,0.0,0.5,0.0,0.41311969993476844
1.0,4.5,0.0,0.5,0.0,0.4454698587914845
1.0,5.0,0.0,0.5,0.0,0.47084026090292874
1.0,5.5,0.0,0.5,0.0,0.49126984126984125
1.0,6.0,0.0,0.5,0.0,0.5
1.0,6.5,0.0,0.5,0.0,0.5
1.0,7.0,0.0,0.5,0.0,0.5
1.0,7.5,0.0,0.5,0.0,0.5
1.0,8.0,0.0,0.5,0.0,0.5
1.0,8.5,0.0,0.5,0.0,0.5
1.0,9.0,0.0,0.5,0.0,0.5
1.0,9.5,0.0,0.5,0.0,0.5
